name,source,branch,commit
complexhex-fabric-1.20.1-0.1.6-beta-efc4258.jar,https://github.com/JoshuaCF/ComplexHex.git,eval_simplify_fix,efc425813270dc274e7defa907d1b55903da889c
create-tweaks-0.1.1+1.20.1.jar,https://github.com/ShadowCube264/create-tweaks.git,1.20.1,814880764516b498b6ed3f96c72e48a3ece7d160
efhexs-1.0.0-20dbe0d.jar,https://github.com/miyucomics/special-efhexs.git,main,20dbe0dccaa6390b8d2fea1e389f21045f91ce83
figura-0.1.5+1.20.1-fabric-mc-a5f5d5d.jar,https://github.com/penguinencounter/Figura.git,hexxy,a5f5d5d2de2389cf9132afa4e28474e195bfc737
fsb-carpet-addon-0.1.1.jar,https://github.com/penguinencounter/fsb-carpet-addon.git,main,68925b0a2f8ad4519dba09915acf31bd72a5fd34
helpfromhexxy-fabric-1.20.1-0.1.4.jar,,,
hexal-fabric-1.20.1-0.3.1-821cc54.jar,https://github.com/FallingColors/Hexal.git,main,79db73e06d7d6be1b9facb49ffef678c73fb9e27
hexcassettes-2.0.0-d8db411.jar,https://github.com/pythonmcpi/hexcassettes.git,fix_respawn_sync,d8db411f87b952ea6f01ef213ea0ce5d1c960c73
hexcasting-fabric-1.20.1-0.11.3-724c36b.jar,https://github.com/FallingColors/HexMod.git,main,724c36bba6a97f97d16f95d16f7addb700e62443
hexical-2.0.0-e0d7ef9.jar,https://github.com/miyucomics/hexical.git,main,e0d7ef97501060f69eddfc8dcced1e21807bca4b
HexVR-1.6.0-85b3885.jar,https://github.com/soup587/HexVR.git,1.20.1-Architectury,85b3885d99c7c0184d8fc6af10066f53b3dac3a5
hexxyinthealps-fabric-0.1.0+1.20.1-SNAPSHOT.jar,https://github.com/object-Object/HexxyInTheAlps.git,main,2746f041bbfc9e36abbbd8d26c116968615a9efe
moreiotas-fabric-1.20.1-0.1.1-dcec64d.jar,https://github.com/FallingColors/MoreIotas.git,main,dcec64d782f8eb2b5a8f900dfbc4799b0b394a97
oneironaut-fabric-1.20.1-0.5.0-ad811dc.jar,https://github.com/beholderface/oneironaut.git,1.20.1,ad811dca7b3c51669be54dec63fc812c521725fe
overevaluate-1.0.0-b220e5e.jar,https://github.com/pythonmcpi/overevaluate.git,athenas_cherrypick,b220e5eaec181f0c8e3ea6e03b9a88c3db12ce3b
scryglass-1.0.0-6c096fb.jar,https://github.com/miyucomics/scryglass.git,main,6c096fbb974f6c8ca04f6ec83946a448415da0d9
trinkhide-1.0.1+object-Object-9f4a62f.jar,https://github.com/object-Object/trinkhide.git,maintenance,9f4a62fa40ccc6d83ce1ee93c1eacd994585804e
allium-0.4.0.jar,https://github.com/ShadowCube264/allium.git,main,8d493bc2dfe0eba9906319eb85e004c49bbeee99
JadeAddons-1.20.1-Fabric-5.4.0.jar,https://github.com/ShadowCube264/JadeAddonsFabric.git,1.20,05c8b5b3eb3d900a9d0320c4d6cd649c3d31e779
